id,trade_id,target,source,order_date,orderYrEst,quantity,delivery_date,designation,description,category,source_lat,source_lng,target_lat,target_lng
307716,64584,Peru,Germany,2020-01-01 00:00:00+00:00,False,16.0,,ship engine 500-1000,ship engine,Engines,51.247366088569144,10.29806784711105,-9.277483998710055,-74.37198460751777
306029,64588,Ukraine,United Kingdom,2021-01-01 00:00:00+00:00,True,2.0,2022-01-01 00:00:00+00:00,Sandown,minehunter,Ships,54.10280200875406,-2.9029433297645,49.21525509612321,31.19776005188007
240002,64590,Ukraine,United Kingdom,2022-01-01 00:00:00+00:00,False,90.0,2022-01-01 00:00:00+00:00,Brimstone,ASM,Missiles,54.10280200875406,-2.9029433297645,49.21525509612321,31.19776005188007
235714,64592,Indonesia,Ukraine,2019-01-01 00:00:00+00:00,True,2.0,2020-01-01 00:00:00+00:00,Dozor-B,APC/APV,Armoured vehicles,49.21525509612321,31.19776005188007,-2.2341369820788897,117.4318266609068
235712,64593,Uganda,Ukraine,2019-01-01 00:00:00+00:00,True,1.0,2020-01-01 00:00:00+00:00,BTS,ARV,Armoured vehicles,49.21525509612321,31.19776005188007,1.2966785567672436,32.357789271692496
312519,64598,Turkmenistan,Serbia,2021-01-01 00:00:00+00:00,False,2.0,2021-01-01 00:00:00+00:00,Lazar-3 IFV --,IFV,Armoured vehicles,44.2552298846412,20.81083307567168,39.1460888026155,59.23931822887312
290422,64600,France,United States,2015-01-01 00:00:00+00:00,False,6.0,2020-01-01 00:00:00+00:00,MQ-9 UCAV,armed UAV,Aircraft,38.8936506,-77.1706298,44.349371111968665,-1.3285559119656076
237839,64601,France,United States,2020-01-01 00:00:00+00:00,False,1.0,2020-01-01 00:00:00+00:00,MQ-9 UAV,UAV,Aircraft,38.8936506,-77.1706298,44.349371111968665,-1.3285559119656076
306690,64602,Germany,United States,2021-01-01 00:00:00+00:00,False,5.0,,P-8A,ASW aircraft,Aircraft,38.8936506,-77.1706298,51.247366088569144,10.29806784711105
237871,64605,Indonesia,United States,2021-01-01 00:00:00+00:00,False,6.0,,F-404 (8000),turbofan,Engines,38.8936506,-77.1706298,-2.2341369820788897,117.4318266609068
306223,64626,Philippines,Spain,2019-01-01 00:00:00+00:00,False,3.0,2023-01-01 00:00:00+00:00,C-295 -,transport aircraft,Aircraft,40.43416182812459,-3.614562787786784,11.84298275761646,122.8846890593164
240131,64628,Zambia,China,2000-01-01 00:00:00+00:00,True,10.0,2000-01-01 00:00:00+00:00,Type-89 IFV,IFV,Armoured vehicles,37.59429811123865,104.2092712875572,-13.427817468119615,27.710866759058145
315152,64629,Bangladesh,Turkiye,2019-01-01 00:00:00+00:00,False,18.0,2023-01-01 00:00:00+00:00,T-300,self-propelled MRL,Artillery,39.11209749790621,35.1160592002762,23.855222003011843,90.2636535877658
308488,64630,Qatar,United Kingdom,2019-01-01 00:00:00+00:00,False,200.0,,ASRAAM,BVRAAM,Missiles,54.10280200875406,-2.9029433297645,25.32374976223017,51.183576073246904
315673,64639,Georgia,United States,2022-01-01 00:00:00+00:00,False,82.0,2022-01-01 00:00:00+00:00,Javelin ATM,anti-tank missile,Missiles,38.8936506,-77.1706298,42.17027971225269,43.47259681790617
312033,64642,Niger,UAE,2020-01-01 00:00:00+00:00,True,11.0,2021-01-01 00:00:00+00:00,Guardian APC,APC,Armoured vehicles,23.875788010111567,54.21089357802459,17.408982080729054,9.350266074195092
309694,64643,Mali,South Africa,2021-01-01 00:00:00+00:00,True,30.0,,Puma M-36 -,APC,Armoured vehicles,-29.071407764527837,24.993023113008935,17.368265015871792,-3.5176701876462184
307582,64644,Mali,South Africa,2019-01-01 00:00:00+00:00,True,13.0,2019-01-01 00:00:00+00:00,Marauder -,APC,Armoured vehicles,-29.071407764527837,24.993023113008935,17.368265015871792,-3.5176701876462184
316987,64645,Burkina Faso,South Africa,2021-01-01 00:00:00+00:00,False,24.0,,Puma M-26,APC,Armoured vehicles,-29.071407764527837,24.993023113008935,12.319988739617818,-1.773250351309407
316633,64647,Nigeria,United States,2022-01-01 00:00:00+00:00,True,12.0,,AH-1Z Viper,combat helicopter,Aircraft,38.8936506,-77.1706298,9.571643596210182,7.999781543559027
315183,64651,Central African Republic,UAE,2020-01-01 00:00:00+00:00,False,2.0,2021-01-01 00:00:00+00:00,An-28,light transport aircraft,Aircraft,23.875788010111567,54.21089357802459,6.551241509460089,20.37780678507148
307702,64652,Brunei,United States,2020-01-01 00:00:00+00:00,True,5.0,2021-01-01 00:00:00+00:00,RQ-21 Blackjack,UAV,Aircraft,38.8936506,-77.1706298,4.690462319819655,114.91518293740306
241482,64655,Qatar,United States,2017-01-01 00:00:00+00:00,False,40.0,2023-01-01 00:00:00+00:00,Sniper,aircraft EO system,Sensors,38.8936506,-77.1706298,25.32374976223017,51.183576073246904
313455,64656,Qatar,United States,2020-01-01 00:00:00+00:00,True,13.0,,Sniper,aircraft EO system,Sensors,38.8936506,-77.1706298,25.32374976223017,51.183576073246904
